PLANTING.ORDER,BOX,PASS,RANGE,UNIQUE,trial,field,gid,plot,PACKING.ORDER,line01,line02,line03
142,BOX-24_4,PASS_24,RANGE_3,iCrop-UIUC-23_M461_IL17-7334xdelta field_203,iCrop-UIUC-23,M461,IL17-7334xdelta field,203,100,SO: 142 id: IL17-7334xdelta field,100;P:24-R:3,M461_iCrop-UIUC-23
143,BOX-24_5,PASS_24,RANGE_2,iCrop-UIUC-23_M461_NATTYxND Victory_123,iCrop-UIUC-23,M461,NATTYxND Victory,123,112,SO: 143 id: NATTYxND Victory,112;P:24-R:2,M461_iCrop-UIUC-23
144,BOX-24_6,PASS_24,RANGE_1,FILL-M461-23_Urb_FB_51,FILL-M461-23,Urb,FB,51,51,SO: 144 id: FB,51;P:24-R:1,Urb_FILL-23
145,BOX-25_1,PASS_25,RANGE_1,FILL-M461-23_Urb_FB_53,FILL-M461-23,Urb,FB,53,53,SO: 145 id: FB,53;P:25-R:1,Urb_FILL-23
146,BOX-25_2,PASS_25,RANGE_2,iCrop-UIUC-23_M461_IL17-5238xdelta field_124,iCrop-UIUC-23,M461,IL17-5238xdelta field,124,98,SO: 146 id: IL17-5238xdelta field,98;P:25-R:2,M461_iCrop-UIUC-23
147,BOX-25_3,PASS_25,RANGE_3,iCrop-UIUC-23_M461_SADDLExNDP140510Y_202,iCrop-UIUC-23,M461,SADDLExNDP140510Y,202,135,SO: 147 id: SADDLExNDP140510Y,135;P:25-R:3,M461_iCrop-UIUC-23
148,BOX-25_4,PASS_25,RANGE_4,iCrop-UIUC-23_M461_A10xIcicle Winter_324,iCrop-UIUC-23,M461,A10xIcicle Winter,324,63,SO: 148 id: A10xIcicle Winter,63;P:25-R:4,M461_iCrop-UIUC-23
149,BOX-25_5,PASS_25,RANGE_5,iCrop-UIUC-23_M461_WI-X10680-3xNDP150231Y_402,iCrop-UIUC-23,M461,WI-X10680-3xNDP150231Y,402,160,SO: 149 id: WI-X10680-3xNDP150231Y,160;P:25-R:5,M461_iCrop-UIUC-23
150,BOX-25_6,PASS_25,RANGE_6,FILL-M461-23_Urb_FB_54,FILL-M461-23,Urb,FB,54,54,SO: 150 id: FB,54;P:25-R:6,Urb_FILL-23
151,BOX-26_1,PASS_26,RANGE_6,FILL-M461-23_Urb_FB_56,FILL-M461-23,Urb,FB,56,56,SO: 151 id: FB,56;P:26-R:6,Urb_FILL-23
152,BOX-26_2,PASS_26,RANGE_5,iCrop-UIUC-23_M461_NATTYxDS Admiral_401,iCrop-UIUC-23,M461,NATTYxDS Admiral,401,111,SO: 152 id: NATTYxDS Admiral,111;P:26-R:5,M461_iCrop-UIUC-23
